gt,node,sc0,sc1,sc2,sc3,sc4,sc5,sc6,sc7,sc8,sc9,sc10,sc11,sc12,sc13,sc14,sc15,sc16,sc17,sc18,sc19,sc20,sc21,sc22,sc23,sc24,sc25,sc26,sc27,sc28,sc29,sc30,sc31,sc32,sc33,sc34,sc35,sc36,sc37,sc38,sc39,sc40,sc41,sc42,sc43,sc44,sc45
0,1,17.0625,29.8876,26.9806,25.0255,25.5412,25.3354,26.3352,25.4223,24.4588,23.2958,15.2342,1.95079,1.49655,20.9773,28.8927,28.3391,27.8203,27.4832,28.2181,28.4483,28.7563,30.6294,31.58,20.6059,13.6281,12.7618,12.0037,11.9893,12.3884,12.1937,11.8921,11.1231,7.93423,1.55164,1.76937,1.84433,5.74867,13.766,13.8292,13.1052,13.2976,13.052,13.1481,12.9924,13.6291,14.4108
0,2,16.4932,29.8113,28.7816,27.5676,28.0103,27.6017,29.1206,29.9231,30.2323,29.9401,19.7076,1.68499,1.38162,15.8719,22.773,23.3363,23.3657,23.0868,23.1343,22.3429,22.3228,24.629,26.9572,20.2976,15.5972,15.0597,14.5292,14.1679,14.5609,14.5771,15.0755,15.153,11.1279,1.96051,2.16195,2.24437,5.50761,12.3652,12.7886,12.3167,12.4827,11.9502,12.0019,11.8038,12.9536,14.571
0,3,17.9625,32.2507,31.2116,29.2406,29.3108,28.6908,29.8219,28.1664,25.8733,23.2755,14.6624,1.70733,1.27838,18.1627,24.807,25.0071,24.7091,24.8703,25.325,25.5967,25.5023,28.2799,30.9252,21.5077,15.0834,14.4953,13.6205,13.2458,13.6978,13.2897,12.9054,11.552,7.82718,1.59357,1.80938,1.89294,5.24412,12.3044,12.4936,12.017,12.352,12.1123,12.1674,12.0761,13.2018,14.8211
0,4,18.4419,31.0495,29.0025,26.6648,26.3894,25.5629,26.4313,26.5211,26.0265,24.5059,15.8267,2.58838,1.9316,19.7946,29.2916,30.5381,30.8464,30.3064,30.5259,29.9367,30.2024,32.0082,33.1224,21.3548,13.5794,12.595,11.6386,11.022,11.1561,10.6573,10.8466,10.2203,6.8575,0.874062,0.884903,0.87889,4.55815,12.3577,13.0741,13.0468,13.0926,12.8858,12.8195,12.7237,13.4098,14.4535
0,5,13.8644,24.6611,21.5557,19.7917,21.1376,22.5201,25.33,25.5778,24.6769,23.505,15.2089,1.18244,0.920279,19.4193,29.034,30.4108,30.4286,30.064,29.6459,28.7459,27.4294,27.8278,27.2354,17.4499,11.2551,10.1721,9.36743,9.96422,11.3793,12.0902,12.198,11.861,8.25398,1.31707,1.36772,1.41044,5.82523,15.0523,15.5614,15.2445,15.2831,14.67,14.2217,13.3906,13.1118,13.2065
0,6,17.8605,32.6482,29.4498,27.2593,27.1853,27.9438,30.9753,32.0692,30.8994,28.5698,17.7273,0.75312,0.626669,16.1854,25.0964,28.294,30.4194,31.6536,32.0596,32.1325,31.76,33.7398,34.6023,21.4845,13.2204,12.1901,11.249,11.1291,12.0206,12.9724,13.267,12.812,8.15288,0.670501,0.70821,0.789822,4.20148,11.5884,12.8207,13.617,14.2784,14.1045,13.9942,13.902,14.5336,15.3135
0,7,17.0765,31.7347,29.2841,27.0391,26.7951,26.491,27.4536,26.0448,24.1288,22.282,14.2493,1.29174,0.988755,20.4606,28.5176,28.4096,27.9026,27.3286,27.064,26.672,26.4038,28.6329,30.7275,21.5473,14.6765,13.7038,12.6605,12.3008,12.6242,12.5362,12.0075,10.9877,7.38393,1.01328,1.24493,1.30861,5.38822,13.6888,13.8818,13.2166,13.4003,12.9673,13.0031,12.8528,13.9581,15.3583
0,8,20.9746,36.66,31.9707,27.6433,25.4243,23.6779,23.7958,24.1571,24.0798,23.7742,16.0212,1.35881,1.08425,19.594,28.7714,30.4612,31.4281,30.9764,30.4009,30.4652,31.6215,34.7089,37.622,24.135,14.4384,12.9468,11.431,10.3099,10.0064,9.82794,10.0142,9.87535,7.02754,0.992443,1.19399,1.35523,5.06151,12.8358,13.696,13.7656,13.6655,13.1298,13.2304,13.7198,15.0726,16.4289
0,9,18.3495,34.4708,32.3884,29.5044,28.5227,26.9061,26.7432,24.7909,22.9434,21.0424,13.0116,1.23389,0.981614,17.6384,25.5623,27.0094,27.4544,28.092,28.6173,28.501,27.8056,29.7055,31.6047,21.6746,15.3459,14.5388,13.3104,12.5495,12.2993,11.8306,11.2045,10.4303,7.27718,1.46089,1.67087,1.73217,5.16612,12.5631,13.2206,12.998,13.6744,13.409,13.317,12.8346,13.5308,14.9317
0,10,18.4022,32.566,30.9306,29.173,29.2139,28.1598,27.9674,25.5636,22.7946,19.8717,12.186,2.14249,1.66944,15.4089,23.4474,25.9408,27.4275,28.3553,29.7501,29.6284,29.5,31.3976,33.1592,22.4542,15.5463,14.8002,13.8813,13.4276,13.4376,12.5569,11.8578,10.2352,6.94087,1.717,1.89626,1.9584,4.91811,11.7014,12.8409,13.0212,13.6398,13.5665,13.3811,12.9912,13.5231,14.8982
1,1,16.9483,29.9799,26.9922,25.1338,25.5199,25.654,26.655,25.9745,24.7822,23.4585,15.1705,1.18531,0.91204,20.0212,28.2995,28.3927,28.314,28.1467,28.5961,29.0415,29.3616,31.1412,32.2152,20.8766,13.5153,12.5458,11.8587,11.9682,12.3928,12.3665,12.0633,11.2769,7.60898,0.904066,1.02369,1.06244,5.06617,13.2388,13.4146,13.098,13.2919,13.1746,13.3247,13.374,14.0342,14.8393
1,2,18.0305,32.4322,30.8414,29.0918,28.7495,28.0635,29.1257,30.4286,31.2206,31.4635,21.226,1.59384,1.35497,15.9091,23.3692,24.2291,24.5848,24.4301,24.6875,24.5766,25.1021,27.4169,30.0354,21.7606,15.7169,15.0403,14.3033,13.7869,13.879,13.9137,14.5256,14.8978,10.8467,1.551,1.6397,1.70555,4.97187,11.8305,12.2598,12.1178,12.2468,11.9783,12.1264,12.2933,13.466,15.0454
1,3,18.2224,32.8171,31.7605,29.6811,29.4417,28.7835,29.5513,27.806,25.2706,22.7593,14.3082,1.1623,0.917582,18.2585,25.1263,25.2042,24.6806,24.5004,24.6513,25.4409,25.753,28.6227,31.5115,21.9433,15.4129,14.7899,13.8459,13.5513,13.8406,13.4,12.8833,11.5153,7.55045,1.30775,1.42572,1.51129,5.04139,12.317,12.2927,11.7763,11.8308,11.6396,11.8733,12.1034,13.3017,15.056
1,4,17.805,29.454,27.639,25.2957,24.7507,24.0291,24.4518,24.0612,23.1532,21.664,13.9766,1.85652,1.45799,16.6722,24.6317,25.7808,26.4326,26.3976,27.1017,27.5535,28.4561,30.5951,32.3995,21.7388,14.1895,13.119,12.1707,11.6937,11.7498,11.298,11.247,10.5131,7.03123,1.07218,1.09618,1.17578,4.57102,11.7407,12.3637,12.553,12.6246,12.7374,12.9015,13.3031,14.208,15.4529
1,5,10.959,19.2756,19.2567,21.2153,24.1676,26.0902,28.8228,29.2063,28.3207,27.1857,17.6449,1.18584,0.967386,20.7989,30.3005,30.7005,30.1639,29.1234,28.0382,26.6854,24.94,24.5617,22.8485,13.486,8.75021,9.30247,10.1909,11.855,13.458,14.1341,14.2975,13.9237,9.58908,1.29323,1.3338,1.40169,6.24343,16.011,16.0863,15.4069,14.913,14.0945,13.386,12.2947,11.5,10.7914
1,6,16.8469,30.7878,28.7658,27.0084,26.7581,26.8859,28.7631,29.509,28.464,26.2819,16.443,0.843011,0.752269,20.5687,30.4503,31.5523,31.8053,31.3008,30.9954,31.0972,30.7652,31.7417,31.98,20.2041,12.9997,12.3539,11.6077,11.3992,11.8528,12.3803,12.5674,12.1245,7.83499,0.883402,0.910641,1.01448,5.38308,14.2395,14.5594,14.3329,14.077,13.7343,13.6887,13.4917,13.684,14.1184
1,7,16.4218,30.8122,29.0609,27.7991,28.6936,29.5402,31.7778,30.9938,29.2628,27.5103,17.4522,1.0206,0.830339,21.522,31.0616,32.4524,32.2811,31.1186,29.0439,27.4957,25.8983,27.6331,29.3022,19.6225,13.4934,12.8135,12.1595,12.6344,13.5184,14.0169,13.5426,12.8279,8.41912,0.860894,0.977376,1.04478,5.2447,14.0982,14.6807,14.2382,13.9776,12.9394,12.3732,11.7817,12.3677,13.848
1,8,19.8378,35.8685,33.3533,30.9588,29.8863,29.2581,30.0582,31.2198,31.1771,30.8085,20.6047,1.30396,1.12964,20.9377,31.269,33.2097,34.3374,33.6952,32.3864,31.31,31.556,33.6639,36.7158,23.5523,14.2176,13.2848,12.3345,11.7397,11.8774,11.8041,12.2274,11.9939,8.11326,0.772977,0.866247,0.965783,4.80299,12.9415,13.7073,14.0467,13.4995,12.8757,12.7333,12.8245,13.8174,15.107
1,9,19.8377,37.1581,34.8881,31.7216,30.3651,28.6022,28.0737,26.1657,24.2159,22.2182,13.7224,1.16482,0.979436,17.4737,25.506,27.4111,28.5876,29.6861,30.5788,31.0492,30.7736,32.9808,35.2088,23.4978,16.0706,15.1129,13.7374,12.892,12.401,11.8219,11.1649,10.3686,6.96822,1.10077,1.18095,1.22765,4.46488,11.4227,12.1619,12.4874,13.3665,13.3857,13.4441,13.3405,14.1305,15.6791
1,10,18.5951,30.5635,31.7339,30.9102,31.0891,30.3338,30.1226,27.8143,24.803,21.8025,13.3494,1.69955,1.38026,15.4474,23.8902,26.6009,28.0738,28.72,29.4577,29.354,28.9277,30.3026,32.0911,21.2782,14.3366,14.0773,13.6165,13.6089,13.7323,12.9299,12.393,10.7941,7.00282,1.40773,1.52412,1.61209,4.71144,11.6775,12.8187,13.1745,13.3472,13.4204,13.0385,12.8071,13.1033,14.2211
2,1,17.3635,29.6185,26.0134,24.4875,25.3475,26.1608,27.7469,27.955,27.301,26.2036,17.1327,1.40524,1.10249,22.7496,31.7571,30.8356,30.3356,29.9755,30.8226,31.4527,32.0439,33.6457,34.1606,21.0501,12.6205,11.6214,11.1105,11.3842,12.1208,12.2532,12.3019,11.705,8.03011,1.06326,1.17331,1.21354,5.47793,13.9588,13.8488,13.3557,13.419,13.4251,13.6322,13.715,14.2844,14.7208
2,2,17.8451,31.4517,30.4559,29.1565,28.9799,28.5375,29.5581,30.9057,31.6488,31.7994,21.3906,1.35748,1.17166,16.2645,23.8743,24.3176,24.3504,23.7153,23.4635,22.9618,23.6749,26.1659,28.8597,21.2278,15.619,15.0711,14.6184,14.1723,14.3803,14.3707,15.0774,15.3862,11.2397,1.65658,1.75137,1.79962,5.22636,12.3009,12.5603,12.2145,11.958,11.5277,11.6023,11.8072,13.1338,14.712
2,3,18.2174,34.1651,32.1227,29.9936,29.7563,29.2271,30.3124,28.8968,26.6817,24.2128,15.4661,1.14051,0.892638,20.1021,28.1273,28.7169,28.2952,28.1057,27.9933,28.1103,27.7228,30.4005,32.5878,21.6209,14.6274,13.9768,13.0932,12.8467,13.151,13.1054,12.5064,11.3771,7.45999,1.13547,1.23015,1.27879,5.07032,12.9504,13.1879,12.6872,12.8302,12.4383,12.3531,12.224,13.186,14.6417
2,4,19.1736,33.172,30.0974,27.5917,27.2236,27.0641,28.1262,28.5257,28.0903,27.0103,17.7898,1.94464,1.50261,18.916,28.9002,30.6186,31.4334,31.1267,31.9424,32.2838,33.1667,34.8544,35.9536,22.5367,13.8293,12.776,11.8523,11.4247,11.7076,11.495,11.7139,11.2571,7.78634,1.14498,1.16667,1.19626,4.72988,12.2655,12.9882,13.1793,13.2156,13.2798,13.4522,13.5895,14.2703,15.2689
2,5,15.9849,28.2631,24.4449,21.5426,21.2253,22.1498,25.0426,25.7533,24.8683,23.4574,15.1286,0.889361,0.727419,20.3011,30.4484,31.6655,31.9173,31.4627,31.2657,30.9732,30.6014,31.5892,31.6907,19.8922,12.1993,10.9956,9.82851,9.61649,10.7225,11.4991,11.7117,11.3156,7.72557,1.14291,1.18082,1.22812,5.53187,14.4551,14.8663,14.7093,14.5831,14.2359,14.0775,13.8279,14.0451,14.3133
2,6,17.6166,31.8168,28.5775,25.81,25.1966,25.7316,28.7888,30.5711,29.9795,28.3513,18.4021,0.786656,0.686012,17.857,26.5861,28.2842,29.3007,30.0236,30.4838,30.6246,30.0706,31.6947,33.0186,21.2929,13.5076,12.2984,11.0988,10.7165,11.5054,12.5672,13.1714,12.9779,8.47437,0.713947,0.753267,0.836846,4.67239,12.574,13.207,13.4724,13.8974,13.7941,13.739,13.5071,14.0981,15.1147
2,7,18.8417,34.9339,32.0635,29.3781,28.6767,28.126,28.5953,26.8286,24.4343,21.984,14.1435,1.12292,0.893546,19.5983,27.2284,27.5923,28.0181,28.2001,28.1358,28.0431,27.9093,30.6493,33.4263,23.0852,15.3893,14.2902,13.0796,12.5253,12.658,12.3982,11.7305,10.49,6.77451,0.981041,1.0958,1.14007,4.83632,12.2741,12.5545,12.5593,12.9566,12.7218,12.8296,12.9154,14.1557,15.8979
2,8,15.379,29.0155,26.3096,24.5842,24.245,24.606,26.4633,28.9488,30.134,30.7634,21.0142,0.91745,0.788271,17.0715,25.3134,26.5895,27.0619,26.0077,24.6115,24.1307,24.6968,26.7231,29.2055,20.4894,13.6777,12.8187,12.1135,11.9961,12.6715,13.3775,14.613,15.3987,10.8655,0.642609,0.717442,0.797455,4.79875,13.0158,13.5946,13.5378,12.8166,12.0664,11.9514,12.2788,13.4228,14.7385
2,9,18.2221,33.3929,31.0637,28.3653,26.9567,25.76,26.214,26.2743,25.8032,25.0729,16.5748,0.917535,0.775341,14.1913,20.7635,21.9602,23.2871,24.5867,26.395,27.4946,28.315,30.6104,32.8684,22.9988,15.9395,15.0623,13.8255,12.836,12.6956,12.54,12.692,12.5086,8.91498,1.41211,1.54312,1.62406,4.51087,10.6344,11.2242,11.6917,12.5913,13.0777,13.5817,13.9412,15.0361,16.3268
