gt,node,count,amplitude_mean_mean,amplitude_mean_std,amplitude_std_mean,amplitude_std_std,amplitude_rms_mean,amplitude_rms_std,amplitude_p90_mean,amplitude_p90_std,gradient_mean_mean,gradient_mean_std,phase_step_std_mean,phase_step_std_std,rssi_dbm_mean,rssi_dbm_std,snr_db_mean,snr_db_std,n_subcarriers_mean,n_subcarriers_std
0,1,8540,17.5617,4.8965,10.6039,5.16986,20.6386,6.75327,31.7086,11.9737,3.4887,1.1638,0.436052,0.287947,-54.884,5.84062,39.116,5.84062,118.205,23.0433
0,2,8529,17.4637,4.49618,9.67651,4.93213,20.0905,6.28719,30.3603,11.6845,3.26083,1.1017,0.443747,0.290666,-51.9139,7.95744,43.1425,7.96198,117.112,24.049
0,3,8569,17.5641,4.68097,10.8771,5.27969,20.7999,6.63014,33.041,12.8767,3.72058,1.22402,0.462505,0.29109,-51.9008,4.55039,40.6799,4.56319,119.478,21.7447
0,4,8477,17.8805,5.54341,11.5059,5.1326,21.3548,7.29005,33.9089,12.3821,3.4746,1.09157,0.472614,0.294588,-52.034,5.8934,40.8432,5.89525,117.679,23.5387
0,5,8391,16.8223,4.45876,10.7491,4.49188,20.0834,5.9369,33.1452,10.5559,3.44565,0.973727,0.509163,0.273332,-53.5134,5.19345,40.4866,5.19345,121.494,19.3417
0,6,7789,18.6724,5.06989,11.8373,5.22477,22.1921,7.0209,35.5262,13.0921,3.83428,1.14447,0.477298,0.277186,-61.0333,6.72854,34.9162,6.73127,124.187,15.1492
0,7,8010,17.5802,4.28189,10.6746,4.68918,20.6704,6.00573,32.5513,11.1601,3.72676,1.00839,0.472046,0.27502,-62.1061,4.62757,32.8939,4.62757,121.632,19.1585
0,8,8382,18.2789,5.16083,11.4503,5.44019,21.673,7.19313,33.7225,12.895,3.78997,1.2955,0.458036,0.274598,-61.3035,7.83244,33.6965,7.83244,120.96,20.0259
0,9,8528,17.6924,5.09955,11.3666,5.11829,21.1126,6.97699,33.7391,12.2521,3.60862,1.11574,0.460255,0.283812,-57.3215,7.10033,36.6785,7.10033,119.902,21.2774
0,10,8521,17.8228,4.7645,10.5604,5.4799,20.8564,6.8493,32.1884,12.7488,3.47494,1.13491,0.423733,0.284195,-54.9243,7.12186,40.0757,7.12186,117.853,23.3777
1,1,7964,17.5699,4.55769,10.9074,4.81633,20.7807,6.30889,32.4343,11.4038,3.55394,1.10892,0.461126,0.278305,-54.1394,5.96826,39.7352,6.00383,122.23,18.3311
1,2,8530,18.0406,4.74606,10.2401,5.10517,20.8597,6.61672,31.9477,12.2723,3.41116,1.18744,0.440266,0.291814,-50.1934,7.16452,44.8066,7.16452,119.289,21.9471
1,3,8488,17.5313,4.53615,11.0286,4.99582,20.8218,6.40038,33.382,12.4886,3.71025,1.21402,0.466964,0.287267,-51.3989,4.53053,40.8627,4.55061,121.463,19.3828
1,4,8460,16.8732,4.47391,10.7834,4.42461,20.1072,6.02305,31.7861,10.7578,3.32931,1.04838,0.473835,0.280974,-51.4397,6.20498,40.8336,6.21913,119.595,21.6175
1,5,8353,16.874,4.6138,10.5995,4.62352,20.0469,6.15342,31.3568,10.9822,3.70791,1.03211,0.5339,0.264648,-53.7012,4.91703,40.2988,4.91703,121.618,19.1776
1,6,7920,18.4741,5.06487,11.5381,5.28458,21.8856,7.00125,34.3854,13.2087,3.75559,1.18439,0.46388,0.275648,-61.8884,6.08285,33.9602,6.09174,123.475,16.4065
1,7,8125,18.4884,4.93661,11.3122,5.29687,21.7839,6.90458,34.2902,12.5394,3.76324,1.17778,0.46602,0.286257,-61.2962,4.22814,33.7038,4.22814,122.935,17.2782
1,8,8414,19.6663,5.74063,12.4028,5.67878,23.3568,7.76248,36.2033,13.502,3.91995,1.40659,0.472021,0.287899,-61.4163,6.58137,33.5837,6.58137,122.006,18.6472
1,9,8456,18.4738,5.20025,11.8582,5.35472,22.0567,7.14945,35.1608,12.8154,3.68736,1.18027,0.466244,0.286585,-55.0674,6.95083,38.9325,6.95074,121.794,18.94
1,10,8508,17.9934,4.84371,10.995,5.3903,21.2016,6.90378,33.241,12.9728,3.52856,1.1811,0.455303,0.287723,-54.4053,7.15601,40.5947,7.15601,120.004,21.163
2,1,8282,18.3283,5.24314,11.4874,5.35684,21.7469,7.15145,34.1595,12.8826,3.69283,1.24251,0.458869,0.280572,-54.0181,5.94977,39.9419,5.95309,121.262,19.6444
2,2,8411,17.9417,4.78985,10.0868,5.05473,20.7002,6.6064,31.1959,11.9314,3.27774,1.15668,0.449814,0.285983,-49.6437,7.18167,45.3563,7.18167,119.059,22.1884
2,3,8455,18.2658,5.03622,11.5404,5.44068,21.7174,7.08067,34.9709,13.6111,3.78345,1.2945,0.465984,0.284975,-52.3063,4.08695,39.6937,4.08695,122.111,18.5003
2,4,8387,18.7529,5.71075,11.8699,5.4005,22.2858,7.59534,34.8246,12.917,3.49864,1.18234,0.453941,0.287494,-50.3489,5.32649,41.7772,5.32988,119.209,22.0315
2,5,8218,17.5021,4.97964,12.0563,5.13044,21.3868,6.7378,36.1359,12.6704,3.59815,1.13162,0.51722,0.272397,-53.8328,5.08145,40.1672,5.08145,122.626,17.7503
2,6,8107,18.2228,4.8701,11.3714,4.95902,21.5638,6.68494,34.076,12.2375,3.8328,1.15757,0.479762,0.277152,-62.0817,6.79015,33.9183,6.79015,123.879,15.7094
2,7,8117,18.0035,4.8225,11.6002,4.988,21.5328,6.57001,34.5307,11.9601,3.7997,1.09993,0.457358,0.282366,-61.3369,4.1792,33.6631,4.1792,122.362,18.1401
2,8,8137,17.3257,3.94986,9.92812,4.23559,20.0496,5.50448,29.6557,10.4992,3.6126,1.03363,0.467754,0.268462,-61.0954,5.76072,33.9046,5.76072,123.485,16.3887
2,9,8442,17.4581,4.58894,11.1467,4.56439,20.7841,6.24088,33.4396,11.3259,3.72696,1.15868,0.49308,0.28992,-55.0461,7.41441,38.9539,7.41441,121.101,19.8489
2,10,8413,18.5197,5.1393,11.3642,5.75011,21.8585,7.33536,34.2522,13.6647,3.48602,1.21683,0.441627,0.289905,-51.9022,6.54648,43.0978,6.54648,119.799,21.3926
3,1,8448,17.5227,4.74726,10.7565,5.06885,20.7033,6.50765,32.1106,11.6557,3.48511,1.28568,0.444582,0.278547,-53.9021,5.94278,40.0747,5.94428,119.947,21.2272
3,2,8561,20.5904,6.05391,12.7954,6.58203,24.4169,8.4542,36.565,14.4631,3.86397,1.48626,0.424384,0.291675,-49.4855,6.60477,45.5145,6.60477,118.797,22.4575
3,3,8523,17.9656,4.79483,11.254,5.33415,21.3338,6.76221,34.1635,13.1729,3.66701,1.375,0.45226,0.288563,-50.3343,5.32846,41.6657,5.32846,121.039,19.9272
3,4,8499,19.1537,6.00432,12.5759,5.44096,22.999,7.85634,35.8582,12.8251,3.54842,1.23765,0.456084,0.288928,-50.6914,5.6391,41.333,5.63776,119.031,22.2174
3,5,8196,18.7544,5.43277,12.7025,5.29327,22.759,7.25543,37.4506,13.0767,3.82084,1.15524,0.487146,0.277049,-54.2892,5.93027,39.7108,5.93027,124.385,14.7764
3,6,8302,17.5863,4.37828,10.6038,4.62304,20.6282,6.0611,32.3106,11.2438,3.65785,1.18707,0.461933,0.283589,-62.4565,6.34589,33.2184,6.33477,122.434,18.0354
3,7,8277,18.2391,4.9701,11.6349,5.10459,21.731,6.82334,34.698,12.3358,3.78359,1.18352,0.438399,0.277448,-61.8301,3.9535,33.1699,3.9535,122.294,18.2397
3,8,8421,17.8036,4.46403,10.5513,4.77943,20.7963,6.21157,31.5256,11.4202,3.75659,1.20036,0.473701,0.276929,-61.7946,5.99846,33.2054,5.99846,122.482,17.9645
3,9,8468,17.4324,4.44249,11.0429,4.673,20.7451,6.08663,33.4598,11.3821,3.70696,1.15199,0.49602,0.301773,-54.6331,7.16746,39.3669,7.16746,120.828,20.1901
3,10,8524,18.3637,5.07943,11.1947,5.68791,21.6382,7.24483,33.774,13.5126,3.46188,1.26769,0.433475,0.290407,-52.2432,6.43438,42.7568,6.43438,119.561,21.6551
4,1,8427,17.6189,4.63397,10.574,5.1476,20.6919,6.48454,32.3651,12.1207,3.32486,1.2309,0.440038,0.291461,-53.0432,6.08934,40.9568,6.08934,119.502,21.7194
4,2,8508,19.1533,5.56132,11.6329,6.16442,22.5716,7.85024,34.8545,14.3477,3.55718,1.38704,0.420766,0.281918,-49.6408,7.34044,45.4202,7.31268,118.732,22.5232
4,3,8545,17.6318,4.65027,11.0253,5.13891,20.9249,6.52812,33.5101,12.7089,3.62866,1.30611,0.452832,0.287602,-50.8089,5.24247,41.1911,5.24247,121.042,19.9235
4,4,8382,18.6805,5.81377,12.2634,5.33451,22.4279,7.65481,35.4111,12.9076,3.69274,1.31864,0.464156,0.28729,-51.4403,5.88077,41.158,5.89792,118.937,22.3151
4,5,8050,17.8834,4.99073,12.4246,4.88553,21.8745,6.66857,36.0146,12.0082,3.72654,1.06889,0.496563,0.264241,-54.7333,5.32428,39.2667,5.32428,124.518,14.5177
